timestamp,tcp_established,tcp_syn_recv,tcp_time_wait,tcp_listen
1774516100,0,0,0,0
1774516101,0,0,0,0
1774516102,0,0,0,0
1774516103,0,0,0,0
1774516104,0,0,0,0
1774516105,0,0,0,0
1774516106,0,0,0,0
1774516107,0,0,0,0
1774516108,0,0,0,0
1774516109,0,0,0,0
1774516110,0,0,0,0
1774516111,0,0,0,0
1774516112,0,0,0,0
1774516113,0,0,0,0
1774516114,0,0,0,0
1774516115,0,0,0,0
1774516116,0,0,0,0
1774516117,0,0,0,0
1774516118,0,0,0,0
1774516119,0,0,0,0
1774516120,0,0,0,0
1774516121,0,0,0,0
1774516122,0,0,0,0
1774516123,0,0,0,0
1774516124,0,0,0,0
1774516125,0,0,0,0
1774516126,0,0,0,0
1774516127,0,0,0,0
1774516128,0,0,0,0
1774516129,0,0,0,0
1774516130,0,0,0,0
1774516131,0,0,0,0
1774516132,0,0,0,0
1774516133,0,0,0,0
1774516134,0,0,0,0
1774516135,0,0,0,0
1774516136,0,0,0,0
1774516137,0,0,0,0
1774516138,0,0,0,0
1774516139,0,0,0,0
1774516140,0,0,0,0
1774516141,0,0,0,0
1774516142,0,0,0,0
1774516143,0,0,0,0
1774516144,0,0,0,0
1774516145,0,0,0,0
1774516147,0,0,0,0
1774516148,0,0,0,0
1774516149,0,0,0,0
1774516150,0,0,0,0
1774516151,0,0,0,0
1774516152,0,0,0,0
1774516153,0,0,0,0
1774516154,0,0,0,0
1774516155,0,0,0,0
1774516156,0,0,0,0
1774516157,0,0,0,0
1774516158,0,0,0,0
1774516159,0,0,0,0
1774516160,0,0,0,0
1774516161,0,0,0,0
1774516162,0,0,0,0
1774516163,0,0,0,0
1774516164,0,0,0,0
1774516165,0,0,0,0
1774516166,0,0,0,0
1774516167,0,0,0,0
1774516168,0,0,0,0
1774516169,0,0,0,0
1774516170,0,0,0,0
1774516171,0,0,0,0
1774516172,0,0,0,0
1774516173,0,0,0,0
1774516174,0,0,0,0
1774516175,0,0,0,0
1774516176,0,0,0,0
1774516177,0,0,0,0
1774516178,0,0,0,0
1774516179,0,0,0,0
1774516180,0,0,0,0
1774516181,0,0,0,0
1774516182,0,0,0,0
1774516183,0,0,0,0
1774516184,0,0,0,0
1774516185,0,0,0,0
1774516186,0,0,0,0
1774516187,0,0,0,0
1774516188,0,0,0,0
1774516189,0,0,0,0
1774516190,0,0,0,0
1774516191,0,0,0,0
1774516192,0,0,0,0
1774516193,0,0,0,0
1774516194,0,0,0,0
1774516195,0,0,0,0
1774516196,0,0,0,0
1774516198,0,0,0,0
1774516199,0,0,0,0
1774516200,0,0,0,0
1774516201,0,0,0,0
1774516202,0,0,0,0
1774516203,0,0,0,0
1774516204,0,0,0,0
1774516205,0,0,0,0
1774516206,0,0,0,0
1774516207,0,0,0,0
1774516208,0,0,0,0
1774516209,0,0,0,0
1774516210,0,0,0,0
1774516211,0,0,0,0
1774516212,0,0,0,0
1774516213,0,0,0,0
1774516214,0,0,0,0
1774516215,0,0,0,0
1774516216,0,0,0,0
1774516217,0,0,0,0
1774516218,0,0,0,0
1774516219,0,0,0,0
1774516220,0,0,0,0
1774516221,0,0,0,0
1774516222,0,0,0,0
1774516223,0,0,0,0
1774516224,0,0,0,0
1774516225,0,0,0,0
1774516226,0,0,0,0
1774516227,0,0,0,0
1774516228,0,0,0,0
1774516229,0,0,0,0
1774516230,0,0,0,0
1774516231,0,0,0,0
1774516232,0,0,0,0
1774516233,0,0,0,0
1774516234,0,0,0,0
1774516235,0,0,0,0
1774516236,0,0,0,0
1774516237,0,0,0,0
1774516238,0,0,0,0
1774516239,0,0,0,0
1774516240,0,0,0,0
1774516241,0,0,0,0
1774516242,0,0,0,0
1774516243,0,0,0,0
1774516244,0,0,0,0
1774516245,0,0,0,0
1774516246,0,0,0,0
1774516247,0,0,0,0
1774516248,0,0,0,0
1774516249,0,0,0,0
1774516250,0,0,0,0
1774516252,0,0,0,0
1774516253,0,0,0,0
1774516254,0,0,0,0
1774516255,0,0,0,0
1774516256,0,0,0,0
1774516257,0,0,0,0
1774516258,0,0,0,0
1774516259,0,0,0,0
1774516260,0,0,0,0
1774516261,0,0,0,0
1774516262,0,0,0,0
1774516263,0,0,0,0
1774516264,0,0,0,0
1774516265,0,0,0,0
1774516266,0,0,0,0
1774516267,0,0,0,0
1774516268,0,0,0,0
1774516269,0,0,0,0
1774516270,0,0,0,0
1774516271,0,0,0,0
1774516272,0,0,0,0
1774516273,0,0,0,0
