timestamp,tcp_established,tcp_syn_recv,tcp_time_wait,tcp_listen
1773840011,0,0,0,0
1773840012,0,0,0,0
1773840013,0,0,0,0
1773840014,0,0,0,0
1773840015,0,0,0,0
1773840016,0,0,0,0
1773840017,0,0,0,0
1773840018,0,0,0,0
1773840019,0,0,0,0
1773840020,0,0,0,0
1773840021,0,0,0,0
1773840022,0,0,0,0
1773840023,0,0,0,0
1773840024,0,0,0,0
1773840025,0,0,0,0
1773840026,0,0,0,0
1773840027,0,0,0,0
1773840028,0,0,0,0
1773840029,0,0,0,0
1773840030,0,0,0,0
1773840031,0,0,0,0
1773840032,0,0,0,0
1773840033,0,0,0,0
1773840034,0,0,0,0
1773840035,0,0,0,0
1773840036,0,0,0,0
1773840037,0,0,0,0
1773840038,0,0,0,0
1773840039,0,0,0,0
1773840040,0,0,0,0
1773840041,0,0,0,0
1773840042,0,0,0,0
1773840043,0,0,0,0
1773840044,0,0,0,0
1773840045,0,0,0,0
1773840046,0,0,0,0
1773840047,0,0,0,0
1773840048,0,0,0,0
1773840049,0,0,0,0
1773840050,0,0,0,0
1773840051,0,0,0,0
1773840052,0,0,0,0
1773840053,0,0,0,0
1773840054,0,0,0,0
1773840056,0,0,0,0
1773840057,0,0,0,0
1773840058,0,0,0,0
1773840059,0,0,0,0
1773840060,0,0,0,0
1773840061,0,0,0,0
1773840062,0,0,0,0
1773840063,0,0,0,0
1773840064,0,0,0,0
1773840065,0,0,0,0
1773840066,0,0,0,0
1773840067,0,0,0,0
1773840068,0,0,0,0
1773840069,0,0,0,0
1773840070,0,0,0,0
1773840071,0,0,0,0
1773840072,0,0,0,0
1773840073,0,0,0,0
1773840074,0,0,0,0
1773840075,0,0,0,0
1773840076,0,0,0,0
1773840077,0,0,0,0
1773840078,0,0,0,0
1773840079,0,0,0,0
1773840080,0,0,0,0
1773840081,0,0,0,0
1773840082,0,0,0,0
1773840083,0,0,0,0
1773840084,0,0,0,0
1773840085,0,0,0,0
1773840086,0,0,0,0
1773840087,0,0,0,0
1773840088,0,0,0,0
1773840089,0,0,0,0
1773840090,0,0,0,0
1773840091,0,0,0,0
1773840092,0,0,0,0
1773840093,0,0,0,0
1773840094,0,0,0,0
1773840095,0,0,0,0
1773840096,0,0,0,0
1773840097,0,0,0,0
1773840098,0,0,0,0
1773840099,0,0,0,0
1773840100,0,0,0,0
1773840101,0,0,0,0
1773840102,0,0,0,0
1773840103,0,0,0,0
1773840104,0,0,0,0
1773840105,0,0,0,0
1773840106,0,0,0,0
1773840107,0,0,0,0
1773840108,0,0,0,0
1773840109,0,0,0,0
1773840110,0,0,0,0
1773840111,0,0,0,0
1773840112,0,0,0,0
1773840113,0,0,0,0
1773840114,0,0,0,0
1773840115,0,0,0,0
1773840116,0,0,0,0
1773840117,0,0,0,0
1773840118,0,0,0,0
1773840119,0,0,0,0
1773840120,0,0,0,0
1773840121,0,0,0,0
1773840122,0,0,0,0
1773840123,0,0,0,0
1773840124,0,0,0,0
1773840125,0,0,0,0
1773840126,0,0,0,0
1773840127,0,0,0,0
1773840128,0,0,0,0
1773840129,0,0,0,0
1773840130,0,0,0,0
1773840131,0,0,0,0
1773840132,0,0,0,0
1773840133,0,0,0,0
1773840134,0,0,0,0
1773840135,0,0,0,0
1773840136,0,0,0,0
1773840137,0,0,0,0
1773840138,0,0,0,0
1773840139,0,0,0,0
1773840140,0,0,0,0
1773840141,0,0,0,0
1773840142,0,0,0,0
1773840143,0,0,0,0
1773840144,0,0,0,0
1773840145,0,0,0,0
1773840146,0,0,0,0
1773840147,0,0,0,0
1773840148,0,0,0,0
1773840149,0,0,0,0
1773840150,0,0,0,0
1773840152,0,0,0,0
1773840153,0,0,0,0
1773840154,0,0,0,0
1773840155,0,0,0,0
1773840156,0,0,0,0
1773840157,0,0,0,0
1773840158,0,0,0,0
1773840159,0,0,0,0
1773840160,0,0,0,0
1773840161,0,0,0,0
1773840162,0,0,0,0
1773840163,0,0,0,0
1773840164,0,0,0,0
1773840165,0,0,0,0
1773840166,0,0,0,0
1773840167,0,0,0,0
1773840168,0,0,0,0
1773840169,0,0,0,0
1773840170,0,0,0,0
1773840171,0,0,0,0
1773840172,0,0,0,0
1773840173,0,0,0,0
1773840174,0,0,0,0
1773840175,0,0,0,0
1773840176,0,0,0,0
1773840177,0,0,0,0
1773840178,0,0,0,0
1773840179,0,0,0,0
1773840180,0,0,0,0
1773840181,0,0,0,0
1773840182,0,0,0,0
1773840183,0,0,0,0
1773840184,0,0,0,0
1773840185,0,0,0,0
1773840186,0,0,0,0
1773840187,0,0,0,0
1773840188,0,0,0,0
1773840189,0,0,0,0
1773840190,0,0,0,0
1773840191,0,0,0,0
1773840192,0,0,0,0
1773840193,0,0,0,0
1773840194,0,0,0,0
1773840195,0,0,0,0
1773840196,0,0,0,0
1773840197,0,0,0,0
1773840198,0,0,0,0
1773840199,0,0,0,0
1773840200,0,0,0,0
1773840201,0,0,0,0
1773840202,0,0,0,0
1773840203,0,0,0,0
1773840204,0,0,0,0
1773840205,0,0,0,0
1773840206,0,0,0,0
1773840207,0,0,0,0
1773840208,0,0,0,0
1773840209,0,0,0,0
1773840210,0,0,0,0
1773840211,0,0,0,0
1773840212,0,0,0,0
1773840213,0,0,0,0
1773840214,0,0,0,0
1773840215,0,0,0,0
1773840216,0,0,0,0
1773840217,0,0,0,0
1773840218,0,0,0,0
1773840219,0,0,0,0
1773840220,0,0,0,0
1773840221,0,0,0,0
1773840222,0,0,0,0
1773840223,0,0,0,0
1773840224,0,0,0,0
1773840225,0,0,0,0
1773840226,0,0,0,0
1773840227,0,0,0,0
1773840228,0,0,0,0
1773840229,0,0,0,0
1773840230,0,0,0,0
1773840231,0,0,0,0
1773840232,0,0,0,0
1773840233,0,0,0,0
1773840234,0,0,0,0
1773840235,0,0,0,0
1773840236,0,0,0,0
1773840237,0,0,0,0
1773840238,0,0,0,0
1773840239,0,0,0,0
1773840240,0,0,0,0
1773840241,0,0,0,0
1773840242,0,0,0,0
1773840243,0,0,0,0
1773840245,0,0,0,0
1773840246,0,0,0,0
1773840247,0,0,0,0
1773840248,0,0,0,0
1773840249,0,0,0,0
1773840250,0,0,0,0
1773840251,0,0,0,0
1773840252,0,0,0,0
1773840253,0,0,0,0
1773840254,0,0,0,0
1773840255,0,0,0,0
1773840256,0,0,0,0
1773840257,0,0,0,0
1773840258,0,0,0,0
1773840259,0,0,0,0
1773840260,0,0,0,0
1773840261,0,0,0,0
1773840262,0,0,0,0
1773840263,0,0,0,0
1773840264,0,0,0,0
1773840265,0,0,0,0
1773840266,0,0,0,0
1773840267,0,0,0,0
1773840268,0,0,0,0
1773840269,0,0,0,0
1773840270,0,0,0,0
1773840271,0,0,0,0
1773840272,0,0,0,0
1773840273,0,0,0,0
1773840274,0,0,0,0
1773840275,0,0,0,0
1773840276,0,0,0,0
1773840277,0,0,0,0
1773840278,0,0,0,0
1773840279,0,0,0,0
1773840280,0,0,0,0
1773840281,0,0,0,0
1773840282,0,0,0,0
1773840283,0,0,0,0
1773840284,0,0,0,0
1773840285,0,0,0,0
1773840286,0,0,0,0
1773840287,0,0,0,0
1773840288,0,0,0,0
1773840289,0,0,0,0
1773840290,0,0,0,0
1773840291,0,0,0,0
1773840292,0,0,0,0
1773840293,0,0,0,0
1773840294,0,0,0,0
1773840295,0,0,0,0
1773840296,0,0,0,0
1773840297,0,0,0,0
1773840298,0,0,0,0
1773840299,0,0,0,0
1773840300,0,0,0,0
1773840301,0,0,0,0
1773840302,0,0,0,0
1773840303,0,0,0,0
1773840304,0,0,0,0
1773840305,0,0,0,0
1773840306,0,0,0,0
1773840307,0,0,0,0
1773840308,0,0,0,0
1773840309,0,0,0,0
1773840310,0,0,0,0
1773840311,0,0,0,0
1773840312,0,0,0,0
1773840313,0,0,0,0
1773840314,0,0,0,0
1773840315,0,0,0,0
1773840316,0,0,0,0
1773840317,0,0,0,0
1773840318,0,0,0,0
1773840319,0,0,0,0
1773840320,0,0,0,0
1773840321,0,0,0,0
1773840322,0,0,0,0
1773840323,0,0,0,0
1773840324,0,0,0,0
1773840325,0,0,0,0
1773840326,0,0,0,0
1773840327,0,0,0,0
1773840328,0,0,0,0
1773840329,0,0,0,0
1773840330,0,0,0,0
1773840331,0,0,0,0
1773840332,0,0,0,0
1773840333,0,0,0,0
1773840334,0,0,0,0
1773840336,0,0,0,0
1773840337,0,0,0,0
1773840338,0,0,0,0
1773840339,0,0,0,0
1773840340,0,0,0,0
1773840341,0,0,0,0
1773840342,0,0,0,0
1773840343,0,0,0,0
1773840344,0,0,0,0
1773840345,0,0,0,0
1773840346,0,0,0,0
1773840347,0,0,0,0
1773840348,0,0,0,0
1773840349,0,0,0,0
1773840350,0,0,0,0
1773840351,0,0,0,0
1773840352,0,0,0,0
1773840353,0,0,0,0
1773840354,0,0,0,0
1773840355,0,0,0,0
1773840356,0,0,0,0
1773840357,0,0,0,0
1773840358,0,0,0,0
1773840359,0,0,0,0
1773840360,0,0,0,0
1773840361,0,0,0,0
1773840362,0,0,0,0
1773840363,0,0,0,0
1773840364,0,0,0,0
1773840365,0,0,0,0
1773840366,0,0,0,0
1773840367,0,0,0,0
1773840368,0,0,0,0
1773840369,0,0,0,0
1773840370,0,0,0,0
1773840371,0,0,0,0
1773840372,0,0,0,0
1773840373,0,0,0,0
1773840374,0,0,0,0
1773840375,0,0,0,0
1773840376,0,0,0,0
1773840377,0,0,0,0
1773840378,0,0,0,0
1773840379,0,0,0,0
1773840380,0,0,0,0
1773840381,0,0,0,0
1773840382,0,0,0,0
1773840383,0,0,0,0
1773840384,0,0,0,0
1773840385,0,0,0,0
1773840386,0,0,0,0
1773840387,0,0,0,0
1773840388,0,0,0,0
1773840389,0,0,0,0
1773840390,0,0,0,0
1773840391,0,0,0,0
1773840392,0,0,0,0
1773840393,0,0,0,0
1773840394,0,0,0,0
1773840395,0,0,0,0
1773840396,0,0,0,0
1773840397,0,0,0,0
1773840398,0,0,0,0
1773840399,0,0,0,0
1773840400,0,0,0,0
1773840401,0,0,0,0
1773840402,0,0,0,0
1773840403,0,0,0,0
1773840404,0,0,0,0
1773840405,0,0,0,0
1773840406,0,0,0,0
1773840407,0,0,0,0
1773840408,0,0,0,0
1773840409,0,0,0,0
1773840410,0,0,0,0
1773840411,0,0,0,0
1773840412,0,0,0,0
1773840413,0,0,0,0
1773840414,0,0,0,0
1773840415,0,0,0,0
1773840416,0,0,0,0
1773840417,0,0,0,0
1773840418,0,0,0,0
1773840419,0,0,0,0
1773840420,0,0,0,0
1773840421,0,0,0,0
1773840422,0,0,0,0
1773840423,0,0,0,0
1773840424,0,0,0,0
1773840425,0,0,0,0
1773840426,0,0,0,0
1773840428,0,0,0,0
1773840429,0,0,0,0
1773840430,0,0,0,0
1773840431,0,0,0,0
1773840432,0,0,0,0
1773840433,0,0,0,0
1773840434,0,0,0,0
1773840435,0,0,0,0
1773840436,0,0,0,0
1773840437,0,0,0,0
1773840438,0,0,0,0
1773840439,0,0,0,0
1773840440,0,0,0,0
1773840441,0,0,0,0
1773840442,0,0,0,0
1773840443,0,0,0,0
1773840444,0,0,0,0
1773840445,0,0,0,0
1773840446,0,0,0,0
1773840447,0,0,0,0
1773840448,0,0,0,0
1773840449,0,0,0,0
1773840450,0,0,0,0
1773840451,0,0,0,0
1773840452,0,0,0,0
1773840453,0,0,0,0
1773840454,0,0,0,0
1773840455,0,0,0,0
1773840456,0,0,0,0
1773840457,0,0,0,0
1773840458,0,0,0,0
1773840459,0,0,0,0
1773840460,0,0,0,0
1773840461,0,0,0,0
1773840462,0,0,0,0
1773840463,0,0,0,0
1773840464,0,0,0,0
1773840465,0,0,0,0
1773840466,0,0,0,0
1773840467,0,0,0,0
1773840468,0,0,0,0
1773840469,0,0,0,0
1773840470,0,0,0,0
1773840471,0,0,0,0
1773840472,0,0,0,0
1773840473,0,0,0,0
1773840474,0,0,0,0
1773840475,0,0,0,0
1773840476,0,0,0,0
1773840477,0,0,0,0
1773840478,0,0,0,0
1773840479,0,0,0,0
1773840480,0,0,0,0
1773840481,0,0,0,0
1773840482,0,0,0,0
1773840483,0,0,0,0
1773840484,0,0,0,0
1773840485,0,0,0,0
1773840486,0,0,0,0
1773840487,0,0,0,0
1773840488,0,0,0,0
1773840489,0,0,0,0
1773840490,0,0,0,0
1773840491,0,0,0,0
1773840492,0,0,0,0
1773840493,0,0,0,0
1773840494,0,0,0,0
1773840495,0,0,0,0
1773840496,0,0,0,0
1773840497,0,0,0,0
1773840498,0,0,0,0
1773840499,0,0,0,0
1773840500,0,0,0,0
1773840501,0,0,0,0
1773840502,0,0,0,0
1773840503,0,0,0,0
1773840504,0,0,0,0
1773840505,0,0,0,0
1773840506,0,0,0,0
1773840507,0,0,0,0
1773840508,0,0,0,0
1773840509,0,0,0,0
1773840510,0,0,0,0
1773840511,0,0,0,0
1773840512,0,0,0,0
1773840513,0,0,0,0
1773840514,0,0,0,0
1773840515,0,0,0,0
1773840516,0,0,0,0
1773840517,0,0,0,0
1773840518,0,0,0,0
1773840519,0,0,0,0
1773840520,0,0,0,0
1773840521,0,0,0,0
1773840522,0,0,0,0
1773840523,0,0,0,0
1773840525,0,0,0,0
1773840526,0,0,0,0
1773840527,0,0,0,0
1773840528,0,0,0,0
1773840529,0,0,0,0
1773840530,0,0,0,0
1773840531,0,0,0,0
1773840532,0,0,0,0
1773840533,0,0,0,0
1773840534,0,0,0,0
1773840535,0,0,0,0
1773840536,0,0,0,0
1773840537,0,0,0,0
1773840538,0,0,0,0
1773840539,0,0,0,0
1773840540,0,0,0,0
1773840541,0,0,0,0
1773840542,0,0,0,0
1773840543,0,0,0,0
1773840544,0,0,0,0
1773840545,0,0,0,0
1773840546,0,0,0,0
1773840547,0,0,0,0
1773840548,0,0,0,0
1773840549,0,0,0,0
1773840550,0,0,0,0
1773840551,0,0,0,0
1773840552,0,0,0,0
1773840553,0,0,0,0
1773840554,0,0,0,0
1773840555,0,0,0,0
1773840556,0,0,0,0
1773840557,0,0,0,0
1773840558,0,0,0,0
1773840559,0,0,0,0
1773840560,0,0,0,0
1773840561,0,0,0,0
1773840562,0,0,0,0
1773840563,0,0,0,0
1773840564,0,0,0,0
1773840565,0,0,0,0
1773840566,0,0,0,0
1773840567,0,0,0,0
1773840568,0,0,0,0
1773840569,0,0,0,0
1773840570,0,0,0,0
1773840571,0,0,0,0
1773840572,0,0,0,0
1773840573,0,0,0,0
1773840574,0,0,0,0
1773840575,0,0,0,0
1773840576,0,0,0,0
1773840577,0,0,0,0
1773840578,0,0,0,0
1773840579,0,0,0,0
1773840580,0,0,0,0
1773840581,0,0,0,0
1773840582,0,0,0,0
1773840583,0,0,0,0
1773840584,0,0,0,0
1773840585,0,0,0,0
1773840586,0,0,0,0
1773840587,0,0,0,0
1773840588,0,0,0,0
1773840589,0,0,0,0
1773840590,0,0,0,0
1773840591,0,0,0,0
1773840592,0,0,0,0
1773840593,0,0,0,0
1773840594,0,0,0,0
1773840595,0,0,0,0
1773840596,0,0,0,0
1773840597,0,0,0,0
1773840598,0,0,0,0
1773840599,0,0,0,0
1773840600,0,0,0,0
1773840601,0,0,0,0
1773840602,0,0,0,0
1773840603,0,0,0,0
1773840604,0,0,0,0
1773840605,0,0,0,0
1773840606,0,0,0,0
1773840607,0,0,0,0
1773840608,0,0,0,0
1773840609,0,0,0,0
1773840610,0,0,0,0
1773840611,0,0,0,0
1773840612,0,0,0,0
1773840613,0,0,0,0
1773840614,0,0,0,0
1773840615,0,0,0,0
1773840616,0,0,0,0
1773840617,0,0,0,0
1773840618,0,0,0,0
1773840619,0,0,0,0
1773840620,0,0,0,0
1773840621,0,0,0,0
1773840623,0,0,0,0
1773840624,0,0,0,0
1773840625,0,0,0,0
1773840626,0,0,0,0
1773840627,0,0,0,0
