timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506770,0.35,63.46,7.31,8319.28,2.75,6.44,5.57
1774506771,0.35,63.46,7.31,8319.23,2.75,6.44,5.57
1774506772,0.35,63.46,7.31,8319.13,2.75,6.44,5.57
1774506773,0.35,63.46,7.31,8318.98,2.75,6.44,5.57
1774506774,0.35,63.47,7.31,8318.98,2.74,6.44,5.57
1774506775,0.35,63.48,7.31,8319.14,2.74,6.44,5.57
1774506776,0.35,63.49,7.31,8319.20,2.75,6.45,5.57
1774506777,0.35,63.50,7.31,8319.36,2.75,6.45,5.57
1774506778,0.35,63.51,7.31,8319.27,2.75,6.45,5.57
1774506779,0.35,63.50,7.31,8319.34,2.75,6.45,5.57
1774506780,0.35,63.51,7.31,8319.26,2.75,6.45,5.57
1774506781,0.35,63.51,7.31,8319.20,2.75,6.45,5.57
1774506782,0.35,63.50,7.31,8319.05,2.75,6.45,5.57
1774506783,0.35,63.50,7.31,8318.91,2.75,6.45,5.57
1774506784,0.35,63.50,7.31,8318.76,2.75,6.45,5.57
1774506785,0.35,63.50,7.31,8318.62,2.74,6.45,5.57
1774506786,0.35,63.50,7.31,8319.02,2.74,6.45,5.57
1774506787,0.35,63.50,7.31,8318.90,2.74,6.45,5.57
1774506788,0.35,63.50,7.31,8318.77,2.74,6.45,5.57
1774506789,0.35,63.50,7.31,8318.63,2.74,6.45,5.57
1774506790,0.35,63.50,7.31,8318.53,2.74,6.45,5.57
1774506791,0.35,63.50,7.31,8318.39,2.74,6.45,5.57
1774506792,0.35,63.51,7.31,8318.42,2.74,6.45,5.57
1774506793,0.35,63.51,7.31,8318.48,2.74,6.45,5.57
1774506794,0.35,63.51,7.31,8318.34,2.74,6.45,5.57
1774506795,0.35,63.51,7.32,8318.34,2.74,6.45,5.57
1774506796,0.35,63.51,7.32,8318.24,2.74,6.45,5.57
1774506797,0.35,63.51,7.32,8318.09,2.74,6.45,5.57
1774506798,0.35,63.51,7.32,8317.95,2.74,6.45,5.57
1774506799,0.35,63.51,7.32,8317.93,2.74,6.45,5.57
1774506800,0.35,63.51,7.32,8317.86,2.74,6.45,5.57
1774506801,0.35,63.51,7.32,8317.78,2.74,6.45,5.57
1774506802,0.35,63.51,7.32,8317.63,2.74,6.45,5.57
1774506803,0.35,63.51,7.32,8317.49,2.74,6.45,5.57
1774506804,0.35,63.51,7.32,8317.41,2.74,6.45,5.57
1774506805,0.35,63.51,7.32,8317.31,2.74,6.45,5.57
1774506806,0.35,63.51,7.32,8317.16,2.74,6.45,5.57
1774506807,0.35,63.51,7.32,8317.02,2.74,6.45,5.57
1774506808,0.35,63.51,7.32,8317.01,2.74,6.45,5.57
1774506809,0.35,63.51,7.32,8316.93,2.74,6.45,5.57
1774506810,0.35,63.51,7.32,8316.78,2.74,6.45,5.57
1774506811,0.35,63.51,7.32,8316.64,2.74,6.45,5.57
1774506812,0.35,63.52,7.32,8316.60,2.75,6.45,5.58
1774506813,0.35,63.54,7.33,8316.61,2.77,6.45,5.58
1774506814,0.35,63.55,7.33,8316.59,2.77,6.45,5.58
1774506815,0.35,63.55,7.33,8316.49,2.77,6.45,5.58
1774506816,0.35,63.54,7.33,8316.35,2.77,6.45,5.58
1774506817,0.35,63.54,7.33,8316.21,2.77,6.45,5.58
1774506818,0.35,63.54,7.33,8316.19,2.77,6.45,5.58
1774506819,0.35,63.54,7.33,8316.06,2.77,6.45,5.58
1774506820,0.35,63.54,7.33,8315.92,2.77,6.45,5.58
1774506821,0.35,63.54,7.33,8315.77,2.77,6.45,5.58
1774506822,0.35,63.54,7.33,8315.74,2.77,6.45,5.58
1774506823,0.35,63.55,7.33,8315.67,2.77,6.45,5.58
1774506824,0.35,63.55,7.32,8315.53,2.77,6.45,5.58
1774506825,0.35,63.55,7.32,8315.38,2.77,6.45,5.58
1774506826,0.35,63.55,7.32,8315.24,2.77,6.45,5.58
1774506827,0.35,63.54,7.32,8315.10,2.77,6.45,5.58
1774506828,0.35,63.54,7.32,8314.95,2.77,6.45,5.58
1774506829,0.35,63.54,7.32,8314.81,2.77,6.45,5.58
1774506830,0.35,63.54,7.32,8314.66,2.77,6.45,5.58
1774506831,0.35,63.54,7.32,8314.52,2.77,6.45,5.58
1774506832,0.35,63.54,7.32,8314.38,2.77,6.45,5.58
1774506833,0.35,63.54,7.32,8314.23,2.77,6.45,5.58
1774506834,0.35,63.54,7.32,8314.09,2.77,6.45,5.58
1774506835,0.35,63.54,7.32,8313.94,2.77,6.45,5.58
1774506836,0.35,63.54,7.32,8313.80,2.77,6.45,5.58
1774506837,0.35,63.53,7.32,8313.66,2.77,6.45,5.58
1774506838,0.35,63.53,7.32,8313.52,2.77,6.45,5.57
