timestamp,mem_available
1774519947,56.78
1774519948,56.78
1774519949,56.78
1774519950,56.77
1774519951,56.77
1774519952,56.77
1774519953,56.77
1774519954,56.77
1774519955,56.76
1774519956,56.76
1774519957,56.76
1774519958,56.77
1774519960,56.77
1774519961,56.77
1774519962,56.77
1774519963,56.77
1774519964,56.77
1774519965,56.77
1774519966,56.77
1774519967,56.77
1774519968,56.77
1774519969,56.77
1774519970,56.77
1774519971,56.77
1774519972,56.77
1774519973,56.77
1774519974,56.77
1774519975,56.77
1774519976,56.77
1774519977,56.77
1774519978,56.81
1774519979,56.81
1774519980,56.81
1774519981,56.81
1774519982,56.81
1774519983,56.81
1774519984,56.81
1774519985,56.81
1774519986,56.80
1774519987,56.80
1774519988,56.80
1774519989,56.80
1774519990,56.79
1774519991,56.79
1774519992,56.79
1774519993,56.79
1774519994,56.79
1774519995,56.79
1774519996,56.79
1774519997,56.78
1774519998,56.78
1774519999,56.78
1774520000,56.78
1774520001,56.79
1774520002,56.79
1774520003,56.79
1774520004,56.80
1774520005,56.80
1774520006,56.80
1774520007,56.80
1774520008,56.80
1774520009,56.79
1774520010,56.79
1774520011,56.79
1774520012,56.79
1774520013,56.82
1774520014,56.83
1774520015,56.83
1774520016,56.83
1774520017,56.82
1774520018,56.83
1774520019,56.83
1774520020,56.83
1774520021,56.82
1774520022,56.82
1774520023,56.82
1774520024,56.82
1774520025,56.82
1774520026,56.83
1774520027,56.83
1774520028,56.78
1774520029,56.78
1774520030,56.77
1774520031,56.77
1774520032,56.77
1774520033,56.77
1774520034,56.77
1774520035,56.77
1774520036,56.77
1774520037,56.77
1774520038,56.77
1774520039,56.77
1774520040,56.77
1774520041,56.77
1774520042,56.76
1774520043,56.76
1774520044,56.76
1774520045,56.76
1774520046,56.76
1774520047,56.76
1774520048,56.76
1774520049,56.77
1774520050,56.77
1774520051,56.76
1774520052,56.77
1774520053,56.77
1774520054,56.77
1774520055,56.77
1774520056,56.77
1774520057,56.77
1774520058,56.77
1774520059,56.77
1774520060,56.77
1774520061,56.82
1774520062,56.82
1774520063,56.82
1774520064,56.82
1774520065,56.82
1774520066,56.82
1774520068,56.81
1774520069,56.81
1774520070,56.81
1774520071,56.81
1774520072,56.81
1774520073,56.81
1774520074,56.81
1774520075,56.81
1774520076,56.81
1774520077,56.81
1774520078,56.81
1774520079,56.81
1774520080,56.81
1774520081,56.81
1774520082,56.81
1774520083,56.81
1774520084,56.81
1774520085,56.81
1774520086,56.81
1774520087,56.81
1774520088,56.81
1774520089,56.81
1774520090,56.81
1774520091,56.81
1774520092,56.81
1774520093,56.82
1774520094,56.82
1774520095,56.81
1774520096,56.81
1774520097,56.81
1774520098,56.81
1774520099,56.81
1774520100,56.81
1774520101,56.81
1774520102,56.81
1774520103,56.81
1774520104,56.81
1774520105,56.81
1774520106,56.81
1774520107,56.81
1774520108,56.82
1774520109,56.82
1774520110,56.82
1774520111,56.82
1774520112,56.82
1774520113,56.82
1774520114,56.82
1774520115,56.82
1774520116,56.83
1774520117,56.83
1774520118,56.83
1774520119,56.83
1774520120,56.83
1774520121,56.83
1774520122,56.83
1774520123,56.83
1774520124,56.83
1774520125,56.83
1774520126,56.83
1774520127,56.82
1774520128,56.82
1774520129,56.82
1774520130,56.82
1774520131,56.82
1774520132,56.82
1774520133,56.77
1774520134,56.77
1774520135,56.79
1774520136,56.78
1774520137,56.78
1774520138,56.78
1774520139,56.78
1774520140,56.78
1774520141,56.78
1774520142,56.78
1774520143,56.78
1774520144,56.78
1774520145,56.83
1774520146,56.83
1774520147,56.78
1774520148,56.78
1774520149,56.78
1774520150,56.78
1774520151,56.78
1774520152,56.78
1774520153,56.78
1774520154,56.79
1774520155,56.79
1774520156,56.79
1774520157,56.79
1774520158,56.79
1774520159,56.79
1774520160,56.79
1774520161,56.79
1774520162,56.79
1774520163,56.78
1774520164,56.78
1774520165,56.78
1774520166,56.78
1774520167,56.78
1774520168,56.78
1774520169,56.78
1774520170,56.78
1774520171,56.78
1774520172,56.78
1774520173,56.78
1774520174,56.78
1774520175,56.78
1774520176,56.78
1774520178,56.78
1774520179,56.78
1774520180,56.78
1774520181,56.78
1774520182,56.79
1774520183,56.79
1774520184,56.78
1774520185,56.78
1774520186,56.78
1774520187,56.78
1774520188,56.78
1774520189,56.78
1774520190,56.78
1774520191,56.73
1774520192,56.78
1774520193,56.78
1774520194,56.78
1774520195,56.78
1774520196,56.78
1774520197,56.78
1774520198,56.78
1774520199,56.78
1774520200,56.78
1774520201,56.78
1774520202,56.78
1774520203,56.78
1774520204,56.78
1774520205,56.77
1774520206,56.77
1774520207,56.77
1774520208,56.77
1774520209,56.77
1774520210,56.77
1774520211,56.77
1774520212,56.77
1774520213,56.77
1774520214,56.77
1774520215,56.77
1774520216,56.77
1774520217,56.77
1774520218,56.77
1774520219,56.77
1774520220,56.77
1774520221,56.77
1774520222,56.77
1774520223,56.77
1774520224,56.77
1774520225,56.77
1774520226,56.77
1774520227,56.82
1774520228,56.82
1774520229,56.82
1774520230,56.82
1774520231,56.82
1774520232,56.82
1774520233,56.82
1774520234,56.82
1774520235,56.82
1774520236,56.82
1774520237,56.82
1774520238,56.82
1774520239,56.81
1774520240,56.81
1774520241,56.81
1774520242,56.81
1774520243,56.82
1774520244,56.82
1774520245,56.81
1774520246,56.81
1774520247,56.81
1774520248,56.81
1774520249,56.81
1774520250,56.81
1774520251,56.80
1774520252,56.80
1774520253,56.80
1774520254,56.80
1774520255,56.76
1774520256,56.76
1774520257,56.76
1774520258,56.76
1774520259,56.77
1774520260,56.77
1774520261,56.77
1774520262,56.77
1774520263,56.77
1774520264,56.77
1774520265,56.77
1774520266,56.78
1774520267,56.80
1774520268,56.75
1774520269,56.74
1774520270,56.73
1774520271,56.73
1774520272,56.73
1774520273,56.74
1774520274,56.74
1774520275,56.74
1774520276,56.74
1774520277,56.74
1774520278,56.74
1774520279,56.73
1774520280,56.73
1774520281,56.73
1774520283,56.73
1774520284,56.73
1774520285,56.73
1774520286,56.73
1774520287,56.75
1774520288,56.75
1774520289,56.75
1774520290,56.75
1774520291,56.75
1774520292,56.75
1774520293,56.75
1774520294,56.75
1774520295,56.75
1774520296,56.75
1774520297,56.74
1774520298,56.74
1774520299,56.74
1774520300,56.74
1774520301,56.74
1774520302,56.74
1774520303,56.74
1774520304,56.74
1774520305,56.74
1774520306,56.74
1774520307,56.74
1774520308,56.74
1774520309,56.74
1774520310,56.74
1774520311,56.74
1774520312,56.74
1774520313,56.74
1774520314,56.74
1774520315,56.74
1774520316,56.74
1774520317,56.74
1774520318,56.74
1774520319,56.74
1774520320,56.74
1774520321,56.74
1774520322,56.74
1774520323,56.74
1774520324,56.74
1774520325,56.74
1774520326,56.74
1774520327,56.74
1774520328,56.74
1774520329,56.74
1774520330,56.74
1774520331,56.74
1774520332,56.74
1774520333,56.74
1774520334,56.74
1774520335,56.74
1774520336,56.74
1774520337,56.74
1774520338,56.75
1774520339,56.75
1774520340,56.77
1774520341,56.77
1774520342,56.77
1774520343,56.77
1774520344,56.77
1774520345,56.77
1774520346,56.72
1774520347,56.72
1774520348,56.72
1774520349,56.72
1774520350,56.72
1774520351,56.72
1774520352,56.72
1774520353,56.72
1774520354,56.72
1774520355,56.72
1774520356,56.72
1774520357,56.72
1774520358,56.72
1774520359,56.72
1774520360,56.72
1774520361,56.72
1774520362,56.72
1774520363,56.73
1774520364,56.73
1774520365,56.73
1774520366,56.73
1774520367,56.73
1774520368,56.73
1774520369,56.73
1774520370,56.72
1774520371,56.72
1774520372,56.72
1774520373,56.72
1774520374,56.72
1774520375,56.72
1774520376,56.72
1774520377,56.72
1774520378,56.72
1774520379,56.72
1774520380,56.72
1774520381,56.72
1774520382,56.72
1774520383,56.72
1774520384,56.72
1774520385,56.72
1774520387,56.72
1774520388,56.72
1774520389,56.73
1774520390,56.73
1774520391,56.72
1774520392,56.72
1774520393,56.72
1774520394,56.72
1774520395,56.72
1774520396,56.72
1774520397,56.72
1774520398,56.72
1774520399,56.73
1774520400,56.73
1774520401,56.73
1774520402,56.73
1774520403,56.73
1774520404,56.72
1774520405,56.72
1774520406,56.72
1774520407,56.72
1774520408,56.72
1774520409,56.72
1774520410,56.71
1774520411,56.70
1774520412,56.70
1774520413,56.70
1774520414,56.70
1774520415,56.70
1774520416,56.71
1774520417,56.71
1774520418,56.71
1774520419,56.71
1774520420,56.71
1774520421,56.71
1774520422,56.71
1774520423,56.71
1774520424,56.71
1774520425,56.70
1774520426,56.70
1774520427,56.70
1774520428,56.70
1774520429,56.70
1774520430,56.70
1774520431,56.70
1774520432,56.70
1774520433,56.70
1774520434,56.70
1774520435,56.70
1774520436,56.70
1774520437,56.70
1774520438,56.74
1774520439,56.79
1774520440,56.79
1774520441,56.79
1774520442,56.79
1774520443,56.83
1774520444,56.83
1774520445,56.83
1774520446,56.83
1774520447,56.83
1774520448,56.83
1774520449,56.83
1774520450,56.83
1774520451,56.83
1774520452,56.83
1774520453,56.83
1774520454,56.83
1774520455,56.84
1774520456,56.83
1774520457,56.83
1774520458,56.83
1774520459,56.83
1774520460,56.83
1774520461,56.83
1774520462,56.83
1774520463,56.83
1774520464,56.83
1774520465,56.83
1774520466,56.83
1774520467,56.83
1774520468,56.83
1774520469,56.83
1774520470,56.83
1774520471,56.83
1774520472,56.83
1774520473,56.83
1774520474,56.79
1774520475,56.79
1774520476,56.79
1774520477,56.79
1774520478,56.79
1774520479,56.79
1774520480,56.79
1774520481,56.79
1774520482,56.78
1774520483,56.78
1774520484,56.78
1774520485,56.78
1774520486,56.78
1774520487,56.81
1774520489,56.81
1774520490,56.81
1774520491,56.81
1774520492,56.83
1774520493,56.82
1774520494,56.82
1774520495,56.81
1774520496,56.81
1774520497,56.81
1774520498,56.81
1774520499,56.81
1774520500,56.81
1774520501,56.81
1774520502,56.81
1774520503,56.81
1774520504,56.81
1774520505,56.81
1774520506,56.86
1774520507,56.85
1774520508,56.85
1774520509,56.85
1774520510,56.85
1774520511,56.85
1774520512,56.88
1774520513,56.87
1774520514,56.87
1774520515,56.87
1774520516,56.86
1774520517,56.86
1774520518,56.86
1774520519,56.86
1774520520,56.86
1774520521,56.86
1774520522,56.86
1774520523,56.86
1774520524,56.86
1774520525,56.85
1774520526,56.85
1774520527,56.85
1774520528,56.85
1774520529,56.84
1774520530,56.84
1774520531,56.84
1774520532,56.84
1774520533,56.84
1774520534,56.84
1774520535,56.84
1774520536,56.84
1774520537,56.84
1774520538,56.84
