timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592563,0.50,1.00,0.00,98.50
1774592564,0.50,1.00,0.00,98.50
1774592565,0.00,1.00,0.00,99.00
1774592566,0.00,1.01,0.00,98.99
1774592567,0.00,1.00,0.50,98.50
1774592568,0.50,1.00,0.00,98.51
1774592569,0.00,1.01,0.00,98.99
1774592570,0.00,1.00,0.00,99.00
1774592571,1.00,1.00,0.00,98.00
1774592572,0.00,1.49,0.00,98.51
1774592573,0.50,1.00,0.00,98.50
1774592574,0.50,1.01,0.00,98.49
1774592575,0.50,1.01,0.00,98.49
1774592576,1.00,1.49,0.00,97.51
1774592577,0.00,1.00,0.00,99.00
1774592578,0.00,1.01,0.00,98.99
1774592579,0.50,1.01,0.00,98.49
1774592580,0.50,1.49,0.00,98.02
1774592581,0.50,1.00,0.00,98.50
1774592582,0.00,1.01,0.00,98.99
1774592583,0.00,1.49,0.00,98.51
1774592584,0.50,1.01,0.00,98.49
1774592585,0.50,0.50,0.00,98.99
1774592586,0.00,1.01,0.00,98.99
1774592587,0.50,1.00,0.00,98.51
1774592588,0.00,1.51,0.00,98.49
1774592589,0.99,0.99,0.00,98.02
1774592590,0.00,1.01,0.00,98.99
1774592591,0.50,0.50,0.00,98.99
1774592592,0.50,0.50,0.00,98.50
1774592593,0.00,1.01,0.00,98.99
1774592594,0.50,1.00,0.00,98.50
1774592595,0.00,1.01,0.00,98.99
1774592596,0.50,1.00,0.00,98.51
1774592597,0.00,1.01,0.00,98.99
1774592598,0.50,1.00,0.50,98.01
1774592599,0.50,1.49,0.00,98.02
1774592600,0.00,1.01,0.00,98.99
1774592601,0.50,1.49,0.00,98.02
1774592602,0.00,1.50,0.00,98.50
1774592603,0.50,0.50,0.00,98.99
1774592604,1.00,1.00,0.00,98.01
1774592605,0.00,1.00,0.00,99.00
1774592606,0.00,1.01,0.00,98.99
1774592607,0.50,1.49,0.00,98.02
1774592608,0.50,1.00,0.00,98.51
1774592609,0.00,1.01,0.00,98.99
1774592610,0.50,1.00,0.00,98.51
1774592611,0.51,0.51,0.00,98.99
1774592612,0.00,1.00,0.00,98.51
1774592613,0.50,1.00,0.00,98.51
1774592614,0.51,1.01,0.00,98.48
