timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774507264,6,58,61
1774507265,6,58,61
1774507266,6,58,61
1774507267,6,58,61
1774507268,6,58,61
1774507269,6,58,61
1774507270,6,58,61
1774507271,6,58,61
1774507272,6,58,61
1774507273,6,58,61
1774507274,6,58,61
1774507275,6,58,61
1774507276,6,58,61
1774507277,6,58,61
1774507278,6,58,61
1774507279,6,58,61
1774507280,6,58,61
1774507281,6,58,61
1774507282,6,58,61
1774507283,6,58,61
1774507284,6,58,61
1774507285,6,58,61
1774507286,6,58,61
1774507287,6,58,61
1774507289,6,58,61
1774507290,6,58,61
1774507291,6,58,61
1774507292,6,58,61
1774507293,6,58,61
1774507294,6,58,61
1774507295,6,58,61
1774507296,6,58,61
1774507297,6,58,61
1774507298,6,58,61
1774507299,6,58,61
1774507300,6,58,61
1774507301,6,58,61
1774507302,6,58,61
1774507303,6,58,61
1774507304,6,58,61
1774507305,6,58,61
1774507306,6,58,61
1774507307,6,58,61
1774507308,6,58,61
1774507309,6,58,61
1774507310,6,58,61
1774507311,6,58,61
1774507312,6,58,61
1774507313,6,58,61
1774507314,6,58,61
1774507315,6,58,61
1774507316,6,58,61
1774507317,6,58,61
1774507318,6,58,61
1774507319,6,58,61
1774507320,6,58,61
1774507321,6,58,61
1774507322,6,58,61
1774507323,6,58,61
1774507324,6,58,61
1774507325,6,58,61
1774507326,6,58,61
1774507327,6,58,61
1774507328,6,58,61
1774507329,6,58,61
1774507330,6,58,61
1774507331,6,58,61
1774507332,6,58,61
1774507333,6,58,61
1774507334,6,58,61
1774507335,6,58,61
1774507336,6,58,61
1774507337,6,58,61
1774507338,6,58,61
1774507339,6,58,61
1774507340,6,58,61
1774507341,6,58,61
1774507342,6,58,61
1774507343,6,58,61
1774507344,6,58,61
1774507345,6,58,61
1774507346,6,58,61
1774507347,6,58,61
1774507348,6,58,61
1774507349,6,58,61
1774507350,6,58,61
1774507351,6,58,61
1774507352,6,58,61
1774507353,6,58,61
1774507354,6,58,61
1774507355,6,58,61
1774507356,6,58,61
1774507358,6,58,61
1774507359,6,58,61
1774507360,6,58,61
1774507361,6,58,61
1774507362,6,58,61
1774507363,6,58,61
1774507364,6,58,61
1774507365,6,58,61
1774507366,6,58,61
1774507367,6,58,61
1774507368,6,58,61
1774507369,6,58,61
1774507370,6,58,61
1774507371,6,58,61
1774507372,6,58,61
1774507373,6,58,61
1774507374,6,58,61
1774507375,6,58,61
1774507376,6,58,61
1774507377,6,58,61
1774507378,6,58,61
1774507379,6,58,61
1774507380,6,58,61
1774507381,6,58,61
1774507382,6,58,61
1774507383,6,58,61
1774507384,6,58,61
1774507385,6,58,61
1774507386,6,58,61
1774507387,6,58,61
1774507388,6,58,61
1774507389,6,58,61
1774507390,6,58,61
1774507391,6,58,61
1774507392,6,58,61
1774507393,6,58,61
1774507394,6,58,61
1774507395,6,58,61
1774507396,6,58,61
1774507397,6,58,61
1774507398,6,58,61
1774507399,6,58,61
1774507400,6,58,61
1774507401,6,58,61
1774507402,6,58,61
1774507403,6,58,61
1774507404,6,58,61
1774507405,6,58,61
1774507406,6,58,61
1774507407,6,58,61
1774507408,6,58,61
1774507409,6,58,61
1774507410,6,58,61
1774507411,6,58,61
1774507412,6,58,61
1774507413,6,58,61
1774507414,6,58,61
1774507415,6,58,61
1774507416,6,58,61
1774507417,6,58,61
1774507418,6,58,61
1774507419,6,58,61
1774507420,6,58,61
1774507421,6,58,61
1774507423,6,58,61
1774507424,6,58,61
1774507425,6,58,61
1774507426,6,58,61
1774507427,6,58,61
1774507428,6,58,61
1774507429,6,58,61
1774507430,6,58,61
1774507431,6,58,61
1774507432,6,58,61
1774507433,6,58,61
1774507434,6,58,61
1774507435,6,58,61
1774507436,6,58,61
1774507437,6,58,61
1774507438,6,58,61
1774507439,6,58,61
1774507440,6,58,61
1774507441,6,58,61
1774507442,6,58,61
1774507443,6,58,61
1774507444,6,58,61
1774507445,6,58,61
1774507446,6,58,61
1774507447,6,58,61
1774507448,6,58,61
1774507449,6,58,61
1774507450,6,58,61
1774507451,6,58,61
1774507452,6,58,61
1774507453,6,58,61
1774507454,6,58,61
1774507455,6,58,61
1774507456,6,58,61
1774507457,6,58,61
1774507458,6,58,61
1774507459,6,58,61
1774507460,6,58,61
1774507461,6,58,61
1774507462,6,58,61
1774507463,6,58,61
1774507464,6,58,61
1774507465,6,58,61
1774507466,6,58,61
1774507467,6,58,61
1774507468,6,58,61
1774507469,6,58,61
1774507470,6,58,61
1774507471,6,58,61
1774507472,6,58,61
1774507473,6,58,61
1774507474,6,58,61
1774507475,6,58,61
1774507476,6,58,61
1774507477,6,58,61
1774507478,6,58,61
1774507479,6,58,61
1774507480,6,58,61
1774507481,6,58,61
1774507482,6,58,61
1774507483,6,58,61
1774507484,6,58,61
1774507485,6,58,61
1774507486,6,58,61
1774507487,6,58,61
1774507488,6,58,61
1774507489,6,58,61
1774507490,6,58,61
1774507491,6,58,61
1774507492,6,58,61
1774507493,6,58,61
1774507494,6,58,61
1774507496,6,58,61
1774507497,6,58,61
1774507498,6,58,61
1774507499,6,58,61
1774507500,6,58,61
1774507501,6,58,61
1774507502,6,58,61
1774507503,6,58,61
1774507504,6,58,61
1774507505,6,58,61
1774507506,6,58,61
1774507507,6,58,61
1774507508,6,58,61
1774507509,6,58,61
1774507510,6,58,61
1774507511,6,58,61
1774507512,6,58,61
1774507513,6,58,61
1774507514,6,58,61
1774507515,6,58,61
1774507516,6,58,61
1774507517,6,58,61
1774507518,6,58,61
1774507519,6,58,61
1774507520,6,58,61
1774507521,6,58,61
1774507522,6,58,61
1774507523,6,58,61
1774507524,6,58,61
1774507525,6,58,61
1774507526,6,58,61
1774507527,6,58,61
1774507528,6,58,61
1774507529,6,58,61
1774507530,6,58,61
1774507531,6,58,61
1774507532,6,58,61
1774507533,6,58,61
1774507534,6,58,61
1774507535,6,58,61
1774507536,6,58,61
1774507537,6,58,61
1774507538,6,58,61
1774507539,6,58,61
1774507540,6,58,61
1774507541,6,58,61
1774507542,6,58,61
1774507543,6,58,61
1774507544,6,58,61
1774507545,6,58,61
1774507546,6,58,61
1774507547,6,58,61
1774507548,6,58,61
1774507549,6,58,61
1774507550,6,58,61
1774507551,6,58,61
1774507552,6,58,61
1774507553,6,58,61
1774507554,6,58,61
1774507555,6,58,61
1774507556,6,58,61
1774507557,6,58,61
1774507558,6,58,61
1774507559,6,58,61
1774507560,6,58,61
1774507561,6,58,61
1774507562,6,58,61
1774507563,6,58,61
1774507564,6,58,61
1774507565,6,58,61
1774507566,6,58,61
1774507568,6,58,61
1774507569,6,58,61
1774507570,6,58,61
1774507571,6,58,61
1774507572,6,58,61
1774507573,6,58,61
1774507574,6,58,61
1774507575,6,58,61
1774507576,6,58,61
1774507577,6,58,61
1774507578,6,58,61
1774507579,6,58,61
1774507580,6,58,61
1774507581,6,58,61
1774507582,6,58,61
1774507583,6,58,61
1774507584,6,58,61
1774507585,6,58,61
