timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1773819066,0.39,2.50,7.88,201.80,1.67,20.97,0.24
1773819067,0.39,2.50,7.88,201.79,1.67,20.96,0.24
1773819068,0.39,2.50,7.88,201.79,1.67,20.96,0.24
1773819069,0.39,2.50,7.88,201.79,1.67,21.15,0.24
1773819070,0.39,2.50,7.88,201.79,1.67,21.16,0.24
1773819071,0.39,2.50,7.88,201.78,1.67,21.17,0.24
1773819072,0.39,2.50,7.88,201.78,1.67,21.17,0.24
1773819073,0.39,2.50,7.88,201.78,1.67,21.17,0.24
1773819074,0.39,2.50,7.88,201.78,1.67,21.16,0.24
1773819075,0.39,2.50,7.88,201.77,1.67,21.16,0.24
1773819076,0.39,2.50,7.88,201.77,1.67,21.16,0.24
1773819077,0.39,2.50,7.88,201.77,1.67,21.16,0.24
1773819078,0.39,2.50,7.88,201.76,1.67,21.16,0.24
1773819079,0.39,2.50,7.88,201.76,1.67,21.16,0.24
1773819080,0.39,2.50,7.88,201.76,1.67,21.15,0.24
1773819081,0.39,2.50,7.88,201.76,1.67,21.15,0.24
1773819082,0.39,2.50,7.88,201.75,1.67,21.15,0.24
1773819083,0.39,2.50,7.88,201.75,1.67,21.15,0.24
1773819084,0.39,2.50,7.88,201.75,1.67,21.15,0.24
1773819085,0.39,2.50,7.88,201.74,1.67,21.15,0.24
1773819086,0.39,2.50,7.87,201.74,1.67,21.14,0.24
1773819087,0.39,2.50,7.87,201.74,1.67,21.14,0.24
1773819088,0.39,2.50,7.87,201.73,1.67,21.14,0.24
1773819089,0.39,2.50,7.87,201.73,1.67,21.14,0.24
1773819090,0.39,2.50,7.87,201.73,1.67,21.14,0.24
1773819091,0.39,2.51,7.87,201.73,1.67,21.14,0.24
1773819092,0.39,2.51,7.87,201.72,1.67,21.14,0.24
1773819093,0.39,2.51,7.87,201.72,1.67,21.14,0.24
1773819094,0.39,2.51,7.87,201.72,1.67,21.14,0.24
1773819095,0.39,2.51,7.87,201.71,1.67,21.14,0.24
1773819096,0.39,2.51,7.87,201.71,1.67,21.13,0.24
1773819097,0.39,2.51,7.87,201.71,1.67,21.13,0.24
1773819098,0.39,2.51,7.87,201.70,1.67,21.13,0.24
1773819099,0.39,2.51,7.87,201.70,1.67,21.13,0.24
1773819100,0.39,2.51,7.87,201.70,1.67,21.13,0.24
1773819101,0.39,2.51,7.87,201.70,1.67,21.12,0.24
1773819102,0.39,2.51,7.87,201.69,1.67,21.12,0.24
1773819103,0.39,2.51,7.87,201.69,1.67,21.12,0.24
1773819104,0.39,2.51,7.87,201.69,1.67,21.12,0.24
1773819105,0.39,2.51,7.87,201.68,1.67,21.12,0.24
1773819106,0.39,2.51,7.87,201.68,1.67,21.12,0.24
1773819107,0.39,2.51,7.87,201.68,1.67,21.12,0.24
1773819108,0.39,2.51,7.87,201.67,1.67,21.12,0.24
1773819109,0.39,2.51,7.87,201.67,1.67,21.12,0.24
1773819110,0.39,2.51,7.87,201.66,1.67,21.12,0.24
1773819111,0.39,2.51,7.87,201.66,1.67,21.12,0.24
1773819112,0.39,2.51,7.87,201.66,1.67,21.12,0.24
1773819113,0.39,2.51,7.87,201.65,1.67,21.12,0.24
1773819114,0.39,2.51,7.87,201.65,1.67,21.12,0.24
1773819115,0.39,2.51,7.87,201.65,1.67,21.12,0.24
1773819116,0.39,2.51,7.87,201.64,1.67,21.12,0.24
1773819117,0.39,2.51,7.87,201.64,1.67,21.12,0.24
1773819118,0.39,2.51,7.87,201.63,1.67,21.12,0.24
1773819119,0.39,2.51,7.87,201.63,1.67,21.12,0.24
1773819120,0.39,2.51,7.87,201.63,1.67,21.12,0.24
1773819121,0.39,2.51,7.87,201.62,1.67,21.12,0.24
1773819122,0.39,2.51,7.87,201.62,1.67,21.12,0.24
1773819123,0.39,2.51,7.87,201.62,1.67,21.12,0.24
1773819124,0.39,2.51,7.87,201.61,1.67,21.12,0.24
1773819125,0.39,2.51,7.87,201.61,1.67,21.12,0.24
1773819126,0.39,2.51,7.87,201.61,1.67,21.12,0.24
1773819127,0.39,2.51,7.87,201.60,1.67,21.12,0.24
1773819128,0.39,2.51,7.87,201.60,1.67,21.12,0.24
1773819129,0.39,2.51,7.87,201.60,1.67,21.12,0.24
1773819130,0.39,2.51,7.87,201.59,1.67,21.12,0.24
1773819131,0.39,2.51,7.87,201.59,1.67,21.12,0.24
1773819132,0.39,2.51,7.87,201.60,1.67,21.10,0.24
1773819133,0.39,2.51,7.87,201.59,1.67,21.10,0.24
1773819134,0.39,2.51,7.87,201.59,1.67,21.10,0.24
1773819135,0.39,2.51,7.87,201.58,1.67,21.10,0.24
1773819136,0.39,2.51,7.87,201.58,1.67,21.10,0.24
